frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.789374,789.374,0.0,0.0,0.0,0.0
3,0.450806,450.806,-230.3987,-171.2519,-0.342504,-23.039867
4,0.476737,476.737,-229.7253,-171.5443,-0.343089,-22.972528
5,0.443386,443.386,-231.7522,-171.6355,-0.343271,-23.17522
6,0.426531,426.531,-255.0627,-181.6091,-0.363218,-25.506273
7,0.428447,428.447,-260.7201,-184.1011,-0.368202,-26.072007
8,0.428693,428.693,-266.3774,-186.5932,-0.373186,-26.63774
9,0.444341,444.341,-272.0347,-189.0852,-0.37817,-27.203473
10,0.412786,412.786,-277.6921,-191.5773,-0.383155,-27.769206
11,0.459206,459.206,-283.3494,-194.0693,-0.388139,-28.334939
12,0.444725,444.725,-289.0067,-196.5614,-0.393123,-28.900672
13,0.442828,442.828,-294.6641,-199.0534,-0.398107,-29.466405
14,0.411456,411.456,-300.3214,-201.5455,-0.403091,-30.0
15,0.444721,444.721,-305.9787,-204.0375,-0.408075,-30.0
16,0.430676,430.676,-311.636,-206.5296,-0.413059,-30.0
17,0.459855,459.855,-317.2934,-209.0216,-0.418043,-30.0
18,0.44296,442.96,-322.9507,-211.5137,-0.423027,-30.0
19,0.395598,395.598,-328.608,-214.0057,-0.428011,-30.0
20,0.412593,412.593,-334.2654,-216.4978,-0.432996,-30.0
21,0.410922,410.922,-339.9227,-218.9898,-0.43798,-30.0
22,0.45816,458.16,-345.58,-221.4819,-0.442964,-30.0
23,0.427937,427.937,-351.2374,-223.9739,-0.447948,-30.0
24,0.443733,443.733,-356.8947,-226.466,-0.452932,-30.0
25,0.427039,427.039,-362.552,-228.958,-0.457916,-30.0
26,0.444277,444.277,-368.2094,-231.4501,-0.4629,-30.0
27,0.42812,428.12,-373.8667,-233.9421,-0.467884,-30.0
28,0.444153,444.153,-379.524,-236.4342,-0.472868,-30.0
29,0.428149,428.149,-235.241,-219.3063,-0.438613,-23.524105
30,0.443227,443.227,-225.0441,-215.5884,-0.431177,-22.504407
