frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
1,0.0,0.0,0.0,0.0,0.0,0.0
2,1.451583,1451.583,0.0,0.0,0.0,0.0
3,1.109157,1109.157,-416.7181,-246.4947,-0.492989,-30.0
4,1.049901,1049.901,-415.9219,-247.5177,-0.495035,-30.0
5,1.069728,1069.728,-428.0208,-242.1349,-0.48427,-30.0
6,1.075281,1075.281,-397.5443,-242.3505,-0.484701,-30.0
7,1.043099,1043.099,-395.3529,-224.7996,-0.449599,-30.0
8,1.073017,1073.017,-397.0125,-227.3444,-0.454689,-30.0
9,1.087189,1087.189,-387.0075,-226.6006,-0.453201,-30.0
10,1.088789,1088.789,-382.2023,-223.9026,-0.447805,-30.0
11,1.155525,1155.525,-377.3972,-221.2045,-0.442409,-30.0
12,1.02641,1026.41,-372.592,-218.5065,-0.437013,-30.0
13,1.059697,1059.697,-367.7869,-215.8085,-0.431617,-30.0
14,1.045314,1045.314,-324.2482,-216.2214,-0.432443,-30.0
15,1.040225,1040.225,-312.7851,-217.2488,-0.434498,-30.0
16,1.041429,1041.429,-310.9231,-215.7889,-0.431578,-30.0
17,1.060194,1060.194,-310.9883,-215.0992,-0.430198,-30.0
18,1.093417,1093.417,-311.4095,-214.396,-0.428792,-30.0
19,1.058461,1058.461,-316.675,-213.2763,-0.426553,-30.0
20,1.10629,1106.29,-311.393,-211.7029,-0.423406,-30.0
21,1.091082,1091.082,-306.1109,-210.1295,-0.420259,-30.0
22,1.061817,1061.817,-300.8289,-208.5561,-0.417112,-30.0
23,1.068655,1068.655,-295.5469,-206.9827,-0.413965,-29.554691
24,1.075954,1075.954,-290.2649,-205.4093,-0.410819,-29.02649
25,1.076683,1076.683,-284.9829,-203.8359,-0.407672,-28.498288
26,1.182645,1182.645,-279.7009,-202.2625,-0.404525,-27.970087
27,1.108568,1108.568,-274.4189,-200.6891,-0.401378,-27.441886
28,1.154498,1154.498,-269.1368,-199.1157,-0.398231,-26.913684
29,1.076546,1076.546,-263.8548,-197.5423,-0.395085,-26.385483
30,1.165277,1165.277,-258.5728,-195.9689,-0.391938,-25.857282
31,1.1854,1185.4,-153.6236,-203.1855,-0.406371,-15.362363
32,1.121329,1121.329,-141.7709,-202.1916,-0.404383,-14.17709
33,1.089746,1089.746,-129.9182,-201.1977,-0.402395,-12.991818
34,1.121515,1121.515,-118.0655,-200.2038,-0.400408,-11.806546
35,1.123667,1123.667,-106.2127,-199.2099,-0.39842,-10.621274
36,1.091895,1091.895,-94.36,-198.216,-0.396432,-9.436002
37,1.101737,1101.737,-82.5073,-197.222,-0.394444,-8.250729
38,1.089202,1089.202,-70.6546,-196.2281,-0.392456,-7.065457
39,1.086512,1086.512,-58.8019,-195.2342,-0.390468,-5.880185
40,1.091654,1091.654,-46.9491,-194.2403,-0.388481,-4.694913
41,1.063525,1063.525,-35.0964,-193.2464,-0.386493,-3.509641
42,1.09122,1091.22,-23.2437,-192.2525,-0.384505,-2.324369
43,1.090002,1090.002,-11.391,-191.2586,-0.382517,0.0
44,1.119784,1119.784,-99.9068,-198.8844,-0.397769,-9.990684
45,1.093488,1093.488,-99.4161,-199.6425,-0.399285,-9.941608
46,1.10953,1109.53,-101.8967,-199.86,-0.39972,-10.189675
47,1.071814,1071.814,-129.2622,-203.308,-0.406616,-12.926224
48,1.071146,1071.146,-128.2508,-203.4105,-0.406821,-12.825081
