frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
1,0.009317,9.317,0.0,0.0,0.0,0.0
2,1.102891,1102.891,0.0,0.0,0.0,0.0
3,0.812317,812.317,0.0,0.0,0.0,0.0
4,0.776598,776.598,0.0,0.0,0.0,0.0
5,0.762829,762.829,0.0,0.0,0.0,0.0
6,0.746748,746.748,0.0,0.0,0.0,0.0
7,0.824762,824.762,0.0,0.0,0.0,0.0
8,0.737839,737.839,0.0,0.0,0.0,0.0
9,1.623266,1623.266,0.0,0.0,0.0,0.0
10,0.756322,756.322,0.0,0.0,0.0,0.0
11,0.709848,709.848,0.0,0.0,0.0,0.0
12,0.78988,789.88,0.0,0.0,0.0,0.0
13,0.851433,851.433,0.0,0.0,0.0,0.0
14,0.822461,822.461,0.0,0.0,0.0,0.0
15,0.9436,943.6,0.0,0.0,0.0,0.0
16,1.088377,1088.377,0.0,0.0,0.0,0.0
17,0.761851,761.851,0.0,0.0,0.0,0.0
18,0.771887,771.887,0.0,0.0,0.0,0.0
19,0.73737,737.37,0.0,0.0,0.0,0.0
20,0.717633,717.633,0.0,0.0,0.0,0.0
21,0.757967,757.967,0.0,0.0,0.0,0.0
22,0.912653,912.653,0.0,0.0,0.0,0.0
23,0.748241,748.241,0.0,0.0,0.0,0.0
24,0.861997,861.997,0.0,0.0,0.0,0.0
25,0.721385,721.385,0.0,0.0,0.0,0.0
26,0.757308,757.308,0.0,0.0,0.0,0.0
27,0.722908,722.908,0.0,0.0,0.0,0.0
28,1.78424,1784.24,0.0,0.0,0.0,0.0
29,0.777113,777.113,0.0,0.0,0.0,0.0
30,0.754471,754.471,0.0,0.0,0.0,0.0
31,0.725725,725.725,0.0,0.0,0.0,0.0
32,0.741716,741.716,0.0,0.0,0.0,0.0
33,0.715304,715.304,0.0,0.0,0.0,0.0
34,0.828209,828.209,0.0,0.0,0.0,0.0
35,0.836246,836.246,823.5176,28.9631,0.057926,30.0
36,0.807796,807.796,826.8476,30.82,0.06164,30.0
37,0.791517,791.517,812.3125,33.7777,0.067555,30.0
38,0.771348,771.348,807.4312,32.9762,0.065952,30.0
39,0.761649,761.649,882.8265,158.535,0.31707,30.0
40,0.781129,781.129,909.5063,203.3386,0.406677,30.0
41,0.802097,802.097,921.3055,212.2915,0.424583,30.0
42,0.777256,777.256,925.2675,216.3964,0.432793,30.0
43,0.791954,791.954,929.9948,216.2303,0.432461,30.0
44,0.763061,763.061,934.8376,214.3948,0.42879,30.0
45,0.75736,757.36,940.0734,211.8923,0.423785,30.0
46,0.759429,759.429,951.187,226.5709,0.453142,30.0
47,0.741198,741.198,962.3007,241.2494,0.482499,30.0
48,0.756465,756.465,973.4143,255.928,0.511856,30.0
49,0.793959,793.959,984.5279,270.6065,0.541213,30.0
50,0.774446,774.446,995.6416,285.285,0.57057,30.0
51,0.772081,772.081,1006.7552,299.9636,0.599927,30.0
52,0.776569,776.569,1017.8688,314.6421,0.629284,30.0
53,0.756439,756.439,1028.9824,329.3206,0.658641,30.0
54,0.837328,837.328,1040.0961,343.9992,0.687998,30.0
55,0.818985,818.985,1051.2097,358.6777,0.717355,30.0
56,0.776036,776.036,791.186,-66.5393,-0.133079,30.0
57,0.788208,788.208,780.9465,-80.3969,-0.160794,30.0
58,0.775152,775.152,776.5235,-84.5425,-0.169085,30.0
59,0.754107,754.107,773.6054,-84.9832,-0.169966,30.0
60,0.844958,844.958,767.4087,-95.3472,-0.190694,30.0
61,0.773946,773.946,761.2119,-105.7111,-0.211422,30.0
62,0.792076,792.076,755.0151,-116.0751,-0.23215,30.0
63,0.758943,758.943,748.8184,-126.4391,-0.252878,30.0
64,0.757813,757.813,742.6216,-136.8031,-0.273606,30.0
65,0.772831,772.831,736.4249,-147.167,-0.294334,30.0
