frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
94,0.503479,503.479,-417.9578,-215.1836,-0.430367,-30.0
95,0.490513,490.513,-415.4063,-214.9852,-0.42997,-30.0
96,0.504782,504.782,-414.9366,-214.5663,-0.429133,-30.0
97,0.506376,506.376,-413.6089,-214.9862,-0.429972,-30.0
98,0.504993,504.993,-412.582,-214.2879,-0.428576,-30.0
99,0.523777,523.777,-412.7591,-213.7916,-0.427583,-30.0
100,0.564706,564.706,-410.7692,-209.0212,-0.418042,-30.0
101,0.563611,563.611,-399.9673,-201.7825,-0.403565,-30.0
102,0.501727,501.727,-393.5515,-201.5734,-0.403147,-30.0
103,0.504732,504.732,-389.7971,-200.9946,-0.401989,-30.0
104,0.505628,505.628,-389.7783,-201.9759,-0.403952,-30.0
105,0.502176,502.176,-389.9858,-202.5265,-0.405053,-30.0
106,0.519121,519.121,-390.688,-201.973,-0.403946,-30.0
107,0.50478,504.78,-391.6573,-201.4009,-0.402802,-30.0
108,0.554578,554.578,-396.0501,-200.3113,-0.400623,-30.0
109,0.505435,505.435,-399.6155,-200.3967,-0.400793,-30.0
110,0.523906,523.906,-399.5117,-200.0447,-0.400089,-30.0
111,0.535253,535.253,-400.7823,-199.9436,-0.399887,-30.0
112,0.550494,550.494,-400.3721,-199.6019,-0.399204,-30.0
113,0.48971,489.71,-401.8998,-199.7855,-0.399571,-30.0
114,0.503561,503.561,-406.4983,-201.6391,-0.403278,-30.0
115,0.495027,495.027,-417.3109,-209.9029,-0.419806,-30.0
116,0.526998,526.998,-424.6539,-210.7643,-0.421529,-30.0
117,0.510949,510.949,-425.3559,-205.9478,-0.411896,-30.0
118,0.510937,510.937,-415.6383,-205.2753,-0.410551,-30.0
119,0.481685,481.685,-401.4121,-208.9602,-0.41792,-30.0
120,0.471946,471.946,-399.2156,-209.7445,-0.419489,-30.0
121,0.45349,453.49,-385.2068,-212.8778,-0.425756,-30.0
122,0.441331,441.331,-358.8109,-221.6177,-0.443235,-30.0
123,0.459803,459.803,-364.077,-223.687,-0.447374,-30.0
124,0.42591,425.91,-360.3956,-225.2852,-0.45057,-30.0
125,0.444797,444.797,-356.7141,-226.8834,-0.453767,-30.0
