frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.747258,747.258,-334.685,-241.9354,-0.483871,-30.0
3,0.442063,442.063,-334.8147,-241.9713,-0.483943,-30.0
4,0.457103,457.103,-335.4108,-241.789,-0.483578,-30.0
5,0.427877,427.877,-347.4341,-240.7248,-0.48145,-30.0
6,0.434651,434.651,-392.2688,-225.6379,-0.451276,-30.0
7,0.43772,437.72,-428.5221,-212.2233,-0.424447,-30.0
8,0.412526,412.526,-440.9331,-206.8155,-0.413631,-30.0
9,0.442655,442.655,-444.1067,-205.3336,-0.410667,-30.0
10,0.439407,439.407,-441.8379,-205.8958,-0.411792,-30.0
11,0.409107,409.107,-453.2627,-201.9016,-0.403803,-30.0
12,0.397151,397.151,-464.6876,-197.9075,-0.395815,-30.0
13,0.395859,395.859,-476.1125,-193.9133,-0.387827,-30.0
14,0.427163,427.163,-487.5374,-189.9192,-0.379838,-30.0
15,0.427704,427.704,-498.9623,-185.925,-0.37185,-30.0
16,0.411602,411.602,-510.3872,-181.9309,-0.363862,-30.0
17,0.412071,412.071,-521.8121,-177.9368,-0.355874,-30.0
18,0.425719,425.719,-533.237,-173.9426,-0.347885,-30.0
19,0.448594,448.594,-320.9518,-241.6863,-0.483373,-30.0
20,0.423491,423.491,-379.1565,-232.5899,-0.46518,-30.0
21,0.42674,426.74,-402.0058,-228.9575,-0.457915,-30.0
22,0.380849,380.849,-397.8065,-230.0196,-0.460039,-30.0
23,0.424787,424.787,-373.7779,-235.0957,-0.470191,-30.0
24,0.443111,443.111,-331.2835,-242.4151,-0.48483,-30.0
25,0.42014,420.14,-298.1534,-246.2326,-0.492465,-29.815344
26,0.441384,441.384,-316.8878,-247.1463,-0.494293,-30.0
27,0.455675,455.675,-318.7606,-247.9335,-0.495867,-30.0
28,0.450067,450.067,-320.6335,-248.7207,-0.497441,-30.0
29,0.441597,441.597,-322.5063,-249.5079,-0.499016,-30.0
30,0.46381,463.81,-318.8508,-236.8989,-0.473798,-30.0
31,0.4564,456.4,-260.5591,-241.048,-0.482096,-26.055911
32,0.412338,412.338,-268.0901,-245.1572,-0.490314,-26.809005
